qid,qcate
d5bbc7c80dba11ecb1e81171463288e9,YesNo
d5bbc8720dba11ecb1e81171463288e9,Others
d5bbd7040dba11ecb1e81171463288e9,color
d5bbd7540dba11ecb1e81171463288e9,choose
d5bbdda80dba11ecb1e81171463288e9,Others
d5bbdefc0dba11ecb1e81171463288e9,choose
d5bbe3de0dba11ecb1e81171463288e9,YesNo
d5bbf9e60dba11ecb1e81171463288e9,number
d5bbfd6a0dba11ecb1e81171463288e9,Others
d5bc06ac0dba11ecb1e81171463288e9,Others
d5bc07560dba11ecb1e81171463288e9,color
d5bc0ee00dba11ecb1e81171463288e9,choose
d5bc143a0dba11ecb1e81171463288e9,Others
d5bc218c0dba11ecb1e81171463288e9,Others
d5bc247a0dba11ecb1e81171463288e9,number
d5bc38160dba11ecb1e81171463288e9,YesNo
d5bc5d500dba11ecb1e81171463288e9,Others
d5bc6f480dba11ecb1e81171463288e9,YesNo
d5bc76b40dba11ecb1e81171463288e9,Others
d5bc873a0dba11ecb1e81171463288e9,Others
d5bca0580dba11ecb1e81171463288e9,color
d5bcadbe0dba11ecb1e81171463288e9,color
d5bcae220dba11ecb1e81171463288e9,Others
d5bcb4440dba11ecb1e81171463288e9,number
d5bcc8bc0dba11ecb1e81171463288e9,number
d5bcc9a20dba11ecb1e81171463288e9,Others
d5bccc680dba11ecb1e81171463288e9,Others
d5bcd3700dba11ecb1e81171463288e9,shape
d5bcde060dba11ecb1e81171463288e9,choose
d5bcdffa0dba11ecb1e81171463288e9,shape
d5bceb4e0dba11ecb1e81171463288e9,number
d5bcf3280dba11ecb1e81171463288e9,YesNo
d5bcf3a00dba11ecb1e81171463288e9,choose
d5bd0c960dba11ecb1e81171463288e9,choose
d5bd151a0dba11ecb1e81171463288e9,YesNo
d5bd18d00dba11ecb1e81171463288e9,choose
d5bd2ec40dba11ecb1e81171463288e9,Others
d5bd46ca0dba11ecb1e81171463288e9,Others
d5bd5a700dba11ecb1e81171463288e9,Others
d5bd5dc20dba11ecb1e81171463288e9,YesNo
d5bd60920dba11ecb1e81171463288e9,number
d5bd61820dba11ecb1e81171463288e9,number
d5bd661e0dba11ecb1e81171463288e9,Others
d5bd69d40dba11ecb1e81171463288e9,choose
d5bd6b460dba11ecb1e81171463288e9,color
d5bd70960dba11ecb1e81171463288e9,number
d5bd744c0dba11ecb1e81171463288e9,Others
d5bd78700dba11ecb1e81171463288e9,choose
d5bd8e460dba11ecb1e81171463288e9,choose
d5bd99860dba11ecb1e81171463288e9,color
d5bd9c560dba11ecb1e81171463288e9,Others
d5bdb2180dba11ecb1e81171463288e9,choose
d5bdbaa60dba11ecb1e81171463288e9,Others
d5bdde8c0dba11ecb1e81171463288e9,number
d5bdebf20dba11ecb1e81171463288e9,number
d5be0dda0dba11ecb1e81171463288e9,YesNo
d5be108c0dba11ecb1e81171463288e9,choose
d5be15a00dba11ecb1e81171463288e9,Others
d5be194c0dba11ecb1e81171463288e9,number
d5be1c760dba11ecb1e81171463288e9,color
d5be30800dba11ecb1e81171463288e9,number
d5be38000dba11ecb1e81171463288e9,Others
d5be47460dba11ecb1e81171463288e9,Others
d5be58da0dba11ecb1e81171463288e9,Others
d5be63de0dba11ecb1e81171463288e9,Others
d5be687a0dba11ecb1e81171463288e9,color
d5be76800dba11ecb1e81171463288e9,YesNo
d5be79320dba11ecb1e81171463288e9,choose
d5be833c0dba11ecb1e81171463288e9,number
d5be8b2a0dba11ecb1e81171463288e9,Others
d5be8ba20dba11ecb1e81171463288e9,number
d5be8ee00dba11ecb1e81171463288e9,YesNo
d5be973c0dba11ecb1e81171463288e9,choose
d5be989a0dba11ecb1e81171463288e9,Others
d5bea8bc0dba11ecb1e81171463288e9,choose
d5beace00dba11ecb1e81171463288e9,choose
d5beaf2e0dba11ecb1e81171463288e9,number
d5beb2ee0dba11ecb1e81171463288e9,YesNo
d5beb3de0dba11ecb1e81171463288e9,Others
d5beb4ba0dba11ecb1e81171463288e9,choose
d5beb7080dba11ecb1e81171463288e9,Others
d5bebaaa0dba11ecb1e81171463288e9,YesNo
d5bec11c0dba11ecb1e81171463288e9,Others
d5becda60dba11ecb1e81171463288e9,Others
d5bece8c0dba11ecb1e81171463288e9,number
d5bee71e0dba11ecb1e81171463288e9,YesNo
d5beeffc0dba11ecb1e81171463288e9,Others
d5bef6be0dba11ecb1e81171463288e9,color
d5befdee0dba11ecb1e81171463288e9,number
d5beff1a0dba11ecb1e81171463288e9,Others
d5beffb00dba11ecb1e81171463288e9,YesNo
d5bf05c80dba11ecb1e81171463288e9,shape
d5bf0a960dba11ecb1e81171463288e9,YesNo
d5bf11260dba11ecb1e81171463288e9,Others
d5bf12520dba11ecb1e81171463288e9,number
d5bf17ca0dba11ecb1e81171463288e9,Others
d5bf1c5c0dba11ecb1e81171463288e9,Others
d5bf1dd80dba11ecb1e81171463288e9,Others
d5bf20800dba11ecb1e81171463288e9,number
d5bf231e0dba11ecb1e81171463288e9,Others
d5bf25940dba11ecb1e81171463288e9,Others
d5bf2ef40dba11ecb1e81171463288e9,Others
d5bf30200dba11ecb1e81171463288e9,choose
d5bf33720dba11ecb1e81171463288e9,Others
d5bf43440dba11ecb1e81171463288e9,choose
d5bf43d00dba11ecb1e81171463288e9,Others
d5bf44200dba11ecb1e81171463288e9,choose
d5bf45560dba11ecb1e81171463288e9,YesNo
d5bf4ac40dba11ecb1e81171463288e9,Others
d5bf57120dba11ecb1e81171463288e9,number
d5bf5bcc0dba11ecb1e81171463288e9,choose
d5bf5ec40dba11ecb1e81171463288e9,number
d5bf5f140dba11ecb1e81171463288e9,shape
d5bf611c0dba11ecb1e81171463288e9,choose
d5bf63420dba11ecb1e81171463288e9,YesNo
d5bf74cc0dba11ecb1e81171463288e9,choose
d5bf78fa0dba11ecb1e81171463288e9,color
d5bf81ec0dba11ecb1e81171463288e9,Others
d5bf82c80dba11ecb1e81171463288e9,color
d5bf86060dba11ecb1e81171463288e9,number
d5bf8ad40dba11ecb1e81171463288e9,YesNo
d5bf8ba60dba11ecb1e81171463288e9,number
d5bf902e0dba11ecb1e81171463288e9,YesNo
d5bfa3520dba11ecb1e81171463288e9,YesNo
d5bfa64a0dba11ecb1e81171463288e9,YesNo
d5bfad840dba11ecb1e81171463288e9,shape
d5bfafaa0dba11ecb1e81171463288e9,choose
d5bfc0d00dba11ecb1e81171463288e9,YesNo
d5bfca120dba11ecb1e81171463288e9,YesNo
d5bfcf620dba11ecb1e81171463288e9,Others
d5bfd1240dba11ecb1e81171463288e9,Others
d5bfd2fa0dba11ecb1e81171463288e9,YesNo
d5bfdb4c0dba11ecb1e81171463288e9,YesNo
d5bfdff20dba11ecb1e81171463288e9,Others
d5bfe2680dba11ecb1e81171463288e9,YesNo
d5bfe5600dba11ecb1e81171463288e9,choose
d5bfe9ca0dba11ecb1e81171463288e9,number
d5bff9b00dba11ecb1e81171463288e9,Others
d5bfff960dba11ecb1e81171463288e9,YesNo
d5c002840dba11ecb1e81171463288e9,number
d5c0036a0dba11ecb1e81171463288e9,choose
d5c004500dba11ecb1e81171463288e9,Others
d5c00c020dba11ecb1e81171463288e9,YesNo
d5c019400dba11ecb1e81171463288e9,choose
d5c01c600dba11ecb1e81171463288e9,Others
d5c01d820dba11ecb1e81171463288e9,choose
d5c02c640dba11ecb1e81171463288e9,number
d5c0395c0dba11ecb1e81171463288e9,YesNo
d5c047f80dba11ecb1e81171463288e9,Others
d5c053880dba11ecb1e81171463288e9,YesNo
d5c065620dba11ecb1e81171463288e9,number
d5c074ee0dba11ecb1e81171463288e9,color
d5c07b100dba11ecb1e81171463288e9,Others
d5c08bdc0dba11ecb1e81171463288e9,number
d5c08d940dba11ecb1e81171463288e9,YesNo
d5c090500dba11ecb1e81171463288e9,choose
d5c091ae0dba11ecb1e81171463288e9,Others
d5c096ea0dba11ecb1e81171463288e9,shape
d5c097ee0dba11ecb1e81171463288e9,Others
d5c0a4aa0dba11ecb1e81171463288e9,YesNo
d5c0a6c60dba11ecb1e81171463288e9,YesNo
d5c0a7d40dba11ecb1e81171463288e9,number
d5c0af5e0dba11ecb1e81171463288e9,color
d5c0bd1e0dba11ecb1e81171463288e9,YesNo
d5c0d1500dba11ecb1e81171463288e9,number
d5c0d1820dba11ecb1e81171463288e9,number
d5c0d4200dba11ecb1e81171463288e9,choose
d5c0d5560dba11ecb1e81171463288e9,YesNo
d5c0d8c60dba11ecb1e81171463288e9,color
d5c0f28e0dba11ecb1e81171463288e9,choose
d5c0f4320dba11ecb1e81171463288e9,YesNo
d5c0f7a20dba11ecb1e81171463288e9,YesNo
d5c0fc020dba11ecb1e81171463288e9,number
d5c100b20dba11ecb1e81171463288e9,shape
d5c1079c0dba11ecb1e81171463288e9,number
d5c10c060dba11ecb1e81171463288e9,choose
d5c10de60dba11ecb1e81171463288e9,Others
d5c10e7c0dba11ecb1e81171463288e9,YesNo
d5c1114c0dba11ecb1e81171463288e9,choose
d5c1132c0dba11ecb1e81171463288e9,number
d5c113860dba11ecb1e81171463288e9,choose
d5c114300dba11ecb1e81171463288e9,Others
d5c1149e0dba11ecb1e81171463288e9,Others
d5c115ac0dba11ecb1e81171463288e9,choose
d5c11e3a0dba11ecb1e81171463288e9,choose
d5c11e6c0dba11ecb1e81171463288e9,choose
d5c124de0dba11ecb1e81171463288e9,shape
d5c12c540dba11ecb1e81171463288e9,shape
d5c12ed40dba11ecb1e81171463288e9,Others
d5c12fe20dba11ecb1e81171463288e9,choose
d5c13d840dba11ecb1e81171463288e9,color
d5c140860dba11ecb1e81171463288e9,choose
d5c146080dba11ecb1e81171463288e9,color
d5c14b080dba11ecb1e81171463288e9,color
d5c14d7e0dba11ecb1e81171463288e9,number
d5c151200dba11ecb1e81171463288e9,Others
d5c157920dba11ecb1e81171463288e9,Others
d5c158000dba11ecb1e81171463288e9,YesNo
d5c159360dba11ecb1e81171463288e9,Others
d5c160660dba11ecb1e81171463288e9,choose
d5c161380dba11ecb1e81171463288e9,shape
d5c1623c0dba11ecb1e81171463288e9,color
d5c1641c0dba11ecb1e81171463288e9,choose
d5c164b20dba11ecb1e81171463288e9,YesNo
d5c167d20dba11ecb1e81171463288e9,YesNo
d5c169da0dba11ecb1e81171463288e9,Others
d5c16a480dba11ecb1e81171463288e9,Others
d5c174e80dba11ecb1e81171463288e9,number
d5c175560dba11ecb1e81171463288e9,Others
d5c178440dba11ecb1e81171463288e9,number
d5c179160dba11ecb1e81171463288e9,number
d5c179ac0dba11ecb1e81171463288e9,Others
d5c184240dba11ecb1e81171463288e9,choose
d5c18dca0dba11ecb1e81171463288e9,number
d5c18faa0dba11ecb1e81171463288e9,YesNo
d5c190400dba11ecb1e81171463288e9,shape
d5c191800dba11ecb1e81171463288e9,YesNo
d5c19a400dba11ecb1e81171463288e9,number
d5c19a720dba11ecb1e81171463288e9,number
d5c1a08a0dba11ecb1e81171463288e9,choose
d5c1a1fc0dba11ecb1e81171463288e9,color
d5c1a36e0dba11ecb1e81171463288e9,YesNo
d5c1a4a40dba11ecb1e81171463288e9,choose
d5c1a6980dba11ecb1e81171463288e9,Others
d5c1a6d40dba11ecb1e81171463288e9,number
d5c1ad960dba11ecb1e81171463288e9,number
d5c1aea40dba11ecb1e81171463288e9,shape
d5c1aecc0dba11ecb1e81171463288e9,number
d5c1b4620dba11ecb1e81171463288e9,YesNo
d5c1b5980dba11ecb1e81171463288e9,choose
d5c1bb4c0dba11ecb1e81171463288e9,shape
d5c1bed00dba11ecb1e81171463288e9,YesNo
d5c1c0d80dba11ecb1e81171463288e9,Others
d5c1c3760dba11ecb1e81171463288e9,Others
d5c1c3b20dba11ecb1e81171463288e9,YesNo
d5c1c6640dba11ecb1e81171463288e9,choose
d5c1cc900dba11ecb1e81171463288e9,Others
d5c1ce8e0dba11ecb1e81171463288e9,Others
d5c1d49c0dba11ecb1e81171463288e9,color
d5c1df000dba11ecb1e81171463288e9,YesNo
d5c1e66c0dba11ecb1e81171463288e9,Others
d5c1e77a0dba11ecb1e81171463288e9,Others
d5c1ef900dba11ecb1e81171463288e9,color
d5c1f35a0dba11ecb1e81171463288e9,choose
d5c1f5e40dba11ecb1e81171463288e9,Others
d5c1f6f20dba11ecb1e81171463288e9,Others
d5c1fb480dba11ecb1e81171463288e9,Others
d5c1fc2e0dba11ecb1e81171463288e9,choose
d5c1fca60dba11ecb1e81171463288e9,Others
d5c1fcce0dba11ecb1e81171463288e9,color
d5c1fdb40dba11ecb1e81171463288e9,number
d5c1fe540dba11ecb1e81171463288e9,number
d5c200fc0dba11ecb1e81171463288e9,shape
d5c201420dba11ecb1e81171463288e9,YesNo
d5c202280dba11ecb1e81171463288e9,YesNo
d5c2035e0dba11ecb1e81171463288e9,Others
d5c207fa0dba11ecb1e81171463288e9,YesNo
d5c20b920dba11ecb1e81171463288e9,YesNo
d5c20f480dba11ecb1e81171463288e9,Others
d5c21d440dba11ecb1e81171463288e9,Others
d5c23cc00dba11ecb1e81171463288e9,shape
d5c240440dba11ecb1e81171463288e9,Others
d5c241480dba11ecb1e81171463288e9,YesNo
d5c249f40dba11ecb1e81171463288e9,Others
d5c24cce0dba11ecb1e81171463288e9,choose
d5c24d280dba11ecb1e81171463288e9,Others
d5c25f020dba11ecb1e81171463288e9,YesNo
d5c267e00dba11ecb1e81171463288e9,number
d5c268120dba11ecb1e81171463288e9,Others
d5c26efc0dba11ecb1e81171463288e9,number
d5c2714a0dba11ecb1e81171463288e9,Others
d5c2735c0dba11ecb1e81171463288e9,Others
d5c2767c0dba11ecb1e81171463288e9,YesNo
d5c277800dba11ecb1e81171463288e9,YesNo
d5c27b900dba11ecb1e81171463288e9,YesNo
d5c27e2e0dba11ecb1e81171463288e9,color
d5c27f640dba11ecb1e81171463288e9,Others
d5c2819e0dba11ecb1e81171463288e9,YesNo
d5c2845a0dba11ecb1e81171463288e9,number
d5c287020dba11ecb1e81171463288e9,color
d5c28d420dba11ecb1e81171463288e9,YesNo
d5c28f0e0dba11ecb1e81171463288e9,number
d5c28f680dba11ecb1e81171463288e9,Others
d5c28f900dba11ecb1e81171463288e9,YesNo
d5c290300dba11ecb1e81171463288e9,number
d5c290d00dba11ecb1e81171463288e9,choose
d5c291160dba11ecb1e81171463288e9,Others
d5c291fc0dba11ecb1e81171463288e9,Others
d5c293c80dba11ecb1e81171463288e9,Others
d5c2945e0dba11ecb1e81171463288e9,YesNo
d5c298a00dba11ecb1e81171463288e9,choose
d5c29b3e0dba11ecb1e81171463288e9,YesNo
d5c29be80dba11ecb1e81171463288e9,YesNo
d5c29fb20dba11ecb1e81171463288e9,YesNo
d5c2a21e0dba11ecb1e81171463288e9,number
d5c2af200dba11ecb1e81171463288e9,color
d5c2b1500dba11ecb1e81171463288e9,YesNo
d5c2b6320dba11ecb1e81171463288e9,YesNo
d5c2c30c0dba11ecb1e81171463288e9,Others
d5c2c6ae0dba11ecb1e81171463288e9,YesNo
d5c2c8480dba11ecb1e81171463288e9,YesNo
d5c2cdac0dba11ecb1e81171463288e9,YesNo
d5c2ceb00dba11ecb1e81171463288e9,YesNo
d5c2cf820dba11ecb1e81171463288e9,YesNo
d5c2d00e0dba11ecb1e81171463288e9,YesNo
d5c2dbc60dba11ecb1e81171463288e9,YesNo
d5c2de320dba11ecb1e81171463288e9,number
d5c2e83c0dba11ecb1e81171463288e9,YesNo
d5c2ea8a0dba11ecb1e81171463288e9,YesNo
d5c2ebde0dba11ecb1e81171463288e9,color
d5c2f2c80dba11ecb1e81171463288e9,YesNo
d5c2f6920dba11ecb1e81171463288e9,YesNo
d5c2f9f80dba11ecb1e81171463288e9,YesNo
d5c2fafc0dba11ecb1e81171463288e9,YesNo
d5c2fc0a0dba11ecb1e81171463288e9,YesNo
d5c2fc320dba11ecb1e81171463288e9,Others
d5c300f60dba11ecb1e81171463288e9,YesNo
d5c302f40dba11ecb1e81171463288e9,number
d5c3068c0dba11ecb1e81171463288e9,YesNo
d5c308580dba11ecb1e81171463288e9,shape
d5c308d00dba11ecb1e81171463288e9,color
d5c30a9c0dba11ecb1e81171463288e9,YesNo
d5c30e700dba11ecb1e81171463288e9,YesNo
d5c30f2e0dba11ecb1e81171463288e9,YesNo
d5c3110e0dba11ecb1e81171463288e9,YesNo
d5c3114a0dba11ecb1e81171463288e9,YesNo
d5c312260dba11ecb1e81171463288e9,YesNo
d5c3124e0dba11ecb1e81171463288e9,Others
d5c314380dba11ecb1e81171463288e9,Others
d5c314740dba11ecb1e81171463288e9,YesNo
d5c315c80dba11ecb1e81171463288e9,YesNo
d5c3178a0dba11ecb1e81171463288e9,YesNo
d5c31a780dba11ecb1e81171463288e9,YesNo
d5c3232e0dba11ecb1e81171463288e9,YesNo
d5c32f400dba11ecb1e81171463288e9,YesNo
d5c32f900dba11ecb1e81171463288e9,YesNo
d5c333500dba11ecb1e81171463288e9,YesNo
d5c33f620dba11ecb1e81171463288e9,YesNo
d5c33f940dba11ecb1e81171463288e9,Others
d5c340340dba11ecb1e81171463288e9,YesNo
d5c340d40dba11ecb1e81171463288e9,color
d5c347fa0dba11ecb1e81171463288e9,YesNo
d5c34b420dba11ecb1e81171463288e9,YesNo
d5c34c820dba11ecb1e81171463288e9,YesNo
d5c34dfe0dba11ecb1e81171463288e9,YesNo
d5c3524a0dba11ecb1e81171463288e9,YesNo
d5c352e00dba11ecb1e81171463288e9,Others
d5c353da0dba11ecb1e81171463288e9,YesNo
d5c35b0a0dba11ecb1e81171463288e9,Others
d5c35fc40dba11ecb1e81171463288e9,Others
d5c3608c0dba11ecb1e81171463288e9,YesNo
d5c36bf40dba11ecb1e81171463288e9,YesNo
d5c36db60dba11ecb1e81171463288e9,YesNo
d5c36e060dba11ecb1e81171463288e9,YesNo
d5c372e80dba11ecb1e81171463288e9,YesNo
d5c373100dba11ecb1e81171463288e9,Others
d5c37c700dba11ecb1e81171463288e9,YesNo
d5c37f4a0dba11ecb1e81171463288e9,color
d5c37fea0dba11ecb1e81171463288e9,YesNo
d5c3803a0dba11ecb1e81171463288e9,YesNo
d5c381520dba11ecb1e81171463288e9,YesNo
d5c3851c0dba11ecb1e81171463288e9,YesNo
d5c388640dba11ecb1e81171463288e9,YesNo
d5c388d20dba11ecb1e81171463288e9,YesNo
d5c38ce20dba11ecb1e81171463288e9,YesNo
d5c38d820dba11ecb1e81171463288e9,YesNo
d5c392000dba11ecb1e81171463288e9,YesNo
d5c393360dba11ecb1e81171463288e9,YesNo
d5c3961a0dba11ecb1e81171463288e9,Others
d5c396420dba11ecb1e81171463288e9,Others
d5c397fa0dba11ecb1e81171463288e9,Others
d5c398400dba11ecb1e81171463288e9,YesNo
d5c3a4ca0dba11ecb1e81171463288e9,number
d5c3a9ca0dba11ecb1e81171463288e9,number
d5c3aad80dba11ecb1e81171463288e9,YesNo
d5c3abbe0dba11ecb1e81171463288e9,color
d5c3accc0dba11ecb1e81171463288e9,YesNo
d5c3b2c60dba11ecb1e81171463288e9,Others
d5c3bb720dba11ecb1e81171463288e9,YesNo
d5c3be740dba11ecb1e81171463288e9,Others
d5c3c1580dba11ecb1e81171463288e9,Others
d5c3c2160dba11ecb1e81171463288e9,shape
d5c3c82e0dba11ecb1e81171463288e9,YesNo
d5c3ce320dba11ecb1e81171463288e9,YesNo
d5c3d3fa0dba11ecb1e81171463288e9,number
d5c3d5a80dba11ecb1e81171463288e9,choose
d5c3d7ba0dba11ecb1e81171463288e9,Others
d5c3d8b40dba11ecb1e81171463288e9,Others
d5c3daee0dba11ecb1e81171463288e9,choose
d5c3dd640dba11ecb1e81171463288e9,Others
d5c3e4d00dba11ecb1e81171463288e9,Others
d5c3e5980dba11ecb1e81171463288e9,number
d5c3eb2e0dba11ecb1e81171463288e9,Others
d5c3ecdc0dba11ecb1e81171463288e9,Others
d5c3ed9a0dba11ecb1e81171463288e9,YesNo
d5c3eeda0dba11ecb1e81171463288e9,YesNo
d5c3f36c0dba11ecb1e81171463288e9,color
d5c3f61e0dba11ecb1e81171463288e9,YesNo
d5c3f7c20dba11ecb1e81171463288e9,YesNo
